T1 Auction Round | Bot 1 | Bid on Auction Pool Item | bid: Opens the minimum bid for 2-share concession IRR
T1 Auction Round | Bot 2 | Bid on Selected Concession | pass: Concedes the auction for Illinois River Railroad
T1 Auction Round | Bot 3 | Bid on Selected Concession | pass: Concedes the auction for Illinois River Railroad
T1 Auction Round | Bot 4 | Bid on Selected Concession | pass: Concedes the auction for Illinois River Railroad
T1 Auction Round | Bot 2 | Bid on Auction Pool Item | bid: Opens the minimum bid for 2-share concession NC
T1 Auction Round | Bot 3 | Bid on Selected Concession | pass: Concedes the auction for Northern Cross Railroad
T1 Auction Round | Bot 4 | Bid on Selected Concession | pass: Concedes the auction for Northern Cross Railroad
T1 Auction Round | Bot 1 | Bid on Selected Concession | pass: Concedes the auction for Northern Cross Railroad
T1 Auction Round | Bot 3 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T1 Auction Round | Bot 4 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T1 Auction Round | Bot 1 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T1 Auction Round | Bot 2 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T1 Stock Round | Bot 1 | Sell then Buy Shares | par: Starts IRR at the lowest available par, 40
T1 Stock Round | Bot 2 | Sell then Buy Shares | par: Starts NC at the lowest available par, 40
T1 Operating Round | IRR | Convert | pass: Baseline policy passes Convert
T1 Operating Round | IRR | Lay/Upgrade Track | lay_tile: Lays tile 58 on E6 with rotation 0
T1 Operating Round | IRR | Lay/Upgrade Track | lay_tile: Lays tile 5 on D5 with rotation 4
T1 Operating Round | IRR | Buy Trains | buy_train: Buys the cheapest mandatory train, 2 for 80
T1 Operating Round | NC | Convert | pass: Baseline policy passes Convert
T1 Operating Round | NC | Lay/Upgrade Track | lay_tile: Lays tile S1 on E12 with rotation 0
T1 Operating Round | NC | Lay/Upgrade Track | lay_tile: Lays tile 7 on E10 with rotation 0
T1 Operating Round | NC | Run Routes | run_routes: Runs the highest-revenue route found for Rogers (1+1)
T1 Operating Round | NC | Pay or Withhold Dividends | dividend: Chooses the baseline dividend option, payout
T1 Operating Round | NC | Buy Trains | buy_train: Buys the cheapest mandatory train, 2 for 80
T1 Operating Round | NC | Convert | pass: Baseline policy passes Convert
T1 Operating Round | NC | Lay/Upgrade Track | lay_tile: Lays tile J2 on D13 with rotation 0
T1 Operating Round | NC | Run Routes | run_routes: Runs no route because no valid route was found for 2
T1 Operating Round | IRR | Convert | pass: Baseline policy passes Convert
T1 Operating Round | IRR | Lay/Upgrade Track | lay_tile: Lays tile 15 on D5 with rotation 3
T1 Operating Round | IRR | Run Routes | run_routes: Runs the highest-revenue route found for 2
T1 Operating Round | IRR | Pay or Withhold Dividends | dividend: Chooses the baseline dividend option, payout
T2 Auction Round | Bot 3 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T2 Auction Round | Bot 4 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T2 Auction Round | Bot 1 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T2 Auction Round | Bot 2 | Bid on Auction Pool Item | pass: Baseline policy passes Bid on Auction Pool Item
T2 Operating Round | IRR | Convert | pass: Baseline policy passes Convert
T2 Operating Round | IRR | Lay/Upgrade Track | lay_tile: Lays tile 7 on D3 with rotation 5
T2 Operating Round | IRR | Run Routes | run_routes: Runs the highest-revenue route found for 2
